"Date","SPYSIM","TLTSIM"
"1962-01-02",10000,10000
"1962-01-03",10025.28,10001.56
"1962-01-04",9957.67,10018.99
"1962-01-05",9821.11,10004.66
"1962-01-08",9746.47,9990.37
"1962-01-09",9752.05,9991.93
"1962-01-10",9726.66,9977.67
"1962-01-11",9785.71,9995.04
"1962-01-12",9820.84,9980.78
"1962-01-15",9802.49,9966.56
"1962-01-16",9747.56,9952.37
"1962-01-17",9643.37,9969.68
"1962-01-18",9654.57,9971.25
"1962-01-19",9706.58,9972.81
"1962-01-22",9716.38,9990.16
"1962-01-23",9644.56,9975.93
"1962-01-24",9661.39,9977.5
"1962-01-25",9655.71,9947.57
"1962-01-26",9626.11,9949.14
"1962-01-29",9595.09,9935.01
"1962-01-30",9634.44,9936.57
"1962-01-31",9730.08,9938.14
"1962-02-01",9790.53,9939.71
"1962-02-02",9869.28,9941.28
"1962-02-05",9880.48,9958.56
"1962-02-06",9893.09,9944.42
"1962-02-07",9959.17,9945.99
"1962-02-08",9983.04,9963.27
"1962-02-09",9970.32,9980.58
"1962-02-12",9968.86,9982.15
"1962-02-13",9968.81,9999.5
"1962-02-14",9965.94,10016.89
"1962-02-15",10012.32,10002.64
"1962-02-16",9992.56,9972.66
"1962-02-19",9968.59,9989.99
"1962-02-20",10005.12,9928.71
"1962-02-21",9958.63,9961.65
"1962-02-23",9937.47,9978.95
"1962-02-26",9882.54,9996.29
"1962-02-27",9902.18,9982.09
"1962-02-28",9913.38,10015.24
"1962-03-01",9948.51,10032.65
"1962-03-02",9944.23,10034.22
"1962-03-05",9924.48,10019.94
"1962-03-06",9893.47,10021.51
"1962-03-07",9882.16,10038.94
"1962-03-08",9953.86,10056.4
"1962-03-09",9987.57,10073.89
"1962-03-12",9986.11,10091.42
"1962-03-13",10015.61,10125.03
"1962-03-14",10060.58,10126.59
"1962-03-15",10083.03,10096.1
"1962-03-16",10066.69,10113.68
"1962-03-19",10054.99,10131.3
"1962-03-20",10029.09,10165.08
"1962-03-21",10008.87,10182.8
"1962-03-22",9994.33,10249.38
"1962-03-23",10002.49,10218.35
"1962-03-26",9924.09,10187.45
"1962-03-27",9898.2,10205.22
"1962-03-28",9947.51,10206.78
"1962-03-29",9944.32,10224.6
"1962-03-30",9880.12,10242.45
"1962-04-02",9855.64,10260.34
"1962-04-03",9777.25,10294.68
"1962-04-04",9732.91,10362.25
"1962-04-05",9793.57,10314.22
"1962-04-06",9784.71,10348.79
"1962-04-09",9710.57,10350.34
"1962-04-10",9747.11,10351.89
"1962-04-11",9726.89,10320.39
"1962-04-12",9628.63,10338.45
"1962-04-13",9656.66,10356.55
"1962-04-16",9615.16,10358.1
"1962-04-17",9658.8,10359.65
"1962-04-18",9712.37,10394.44
"1962-04-19",9758.84,10379.34
"1962-04-23",9751.39,10347.71
"1962-04-24",9742.53,10332.72
"1962-04-25",9637.18,10334.28
"1962-04-26",9544.6,10335.83
"1962-04-27",9439.25,10387.15
"1962-04-30",9289.92,10388.7
"1962-05-01",9356.26,10390.25
"1962-05-02",9398.47,10391.8
"1962-05-03",9476.16,10410.02
"1962-05-04",9436.08,10411.57
"1962-05-07",9405.94,10413.12
"1962-05-08",9286.4,10414.67
"1962-05-09",9158.36,10432.95
"1962-05-10",9061.53,10451.26
"1962-05-11",8932.06,10452.81
"1962-05-14",8996.98,10437.58
"1962-05-15",9166.89,10422.39
"1962-05-16",9165.12,10407.23
"1962-05-17",9117.95,10408.78
"1962-05-18",9103.42,10360.41
"1962-05-21",9071.86,10328.85
"1962-05-22",8895.57,10346.96
"1962-05-23",8722.13,10348.52
"1962-05-24",8653.68,10366.66
"1962-05-25",8491.6,10384.84
"1962-05-28",7929.41,10403.06
"1962-05-29",8296.53,10371.32
"1962-05-31",8517.51,10372.88
"1962-06-01",8483.12,10391.08
"1962-06-04",8184.83,10392.64
"1962-06-05",8228.47,10377.55
"1962-06-06",8345.88,10395.76
"1962-06-07",8348.37,10397.32
"1962-06-08",8356.54,10415.57
"1962-06-11",8268.23,10417.12
"1962-06-12",8059.33,10435.41
"1962-06-13",7941.23,10420.24
"1962-06-14",7776.31,10388.43
"1962-06-15",8000.2,10389.99
"1962-06-18",7979.65,10374.92
"1962-06-19",7951.93,10343.32
"1962-06-20",7844.06,10344.89
"1962-06-21",7674.64,10363.03
"1962-06-22",7545.3,10364.6
"1962-06-25",7513.29,10300.08
"1962-06-26",7495.6,10285.22
"1962-06-27",7536.6,10303.23
"1962-06-28",7796.6,10288.37
"1962-06-29",7846.18,10273.54
"1962-07-02",8005.98,10275.11
"1962-07-03",8097.07,10276.69
"1962-07-05",8143.79,10278.27
"1962-07-06",8053.09,10230.82
"1962-07-09",8108.4,10199.88
"1962-07-10",8202.35,10217.71
"1962-07-11",8279.13,10219.3
"1962-07-12",8322.98,10237.16
"1962-07-13",8295.27,10238.75
"1962-07-16",8296.18,10224.05
"1962-07-17",8146.81,10225.63
"1962-07-18",8064.71,10227.22
"1962-07-19",8097.11,10228.81
"1962-07-20",8153.85,10246.69
"1962-07-23",8153.33,10248.28
"1962-07-24",8091.27,10249.86
"1962-07-25",8106.5,10251.45
"1962-07-26",8151.78,10269.37
"1962-07-27",8214.24,10254.62
"1962-07-30",8305.32,10239.89
"1962-07-31",8363.49,10241.48
"1962-08-01",8295.7,10243.07
"1962-08-02",8329.54,10293.72
"1962-08-03",8350.49,10278.91
"1962-08-06",8298.45,10280.5
"1962-08-07",8243.54,10282.09
"1962-08-08",8265.92,10283.67
"1962-08-09",8275.43,10301.66
"1962-08-10",8273.48,10303.25
"1962-08-13",8285.84,10304.83
"1962-08-14",8375.49,10339.34
"1962-08-15",8435.08,10340.92
"1962-08-16",8433.13,10375.58
"1962-08-17",8487,10377.16
"1962-08-20",8539.44,10395.34
"1962-08-21",8504.57,10413.56
"1962-08-22",8599.94,10415.14
"1962-08-23",8589.41,10416.71
"1962-08-24",8573.15,10418.29
"1962-08-27",8569.76,10403.23
"1962-08-28",8461.91,10404.81
"1962-08-29",8444.22,10406.39
"1962-08-30",8447.99,10391.35
"1962-08-31",8511.88,10392.93
"1962-09-04",8432.65,10394.52
"1962-09-05",8370.59,10379.51
"1962-09-06",8405.85,10381.1
"1962-09-07",8409.63,10366.12
"1962-09-10",8420.56,10367.71
"1962-09-11",8441.51,10369.3
"1962-09-12",8478.2,10387.46
"1962-09-13",8459.08,10389.04
"1962-09-14",8487.18,10390.63
"1962-09-17",8515.29,10392.22
"1962-09-18",8509.04,10393.81
"1962-09-19",8498.51,10395.39
"1962-09-20",8440.75,10396.98
"1962-09-21",8318.63,10398.57
"1962-09-24",8167.16,10416.78
"1962-09-25",8216.11,10418.37
"1962-09-26",8100.68,10419.96
"1962-09-27",8047.26,10438.21
"1962-09-28",8120.73,10456.51
"1962-10-01",8009.63,10474.84
"1962-10-02",8098.96,10493.21
"1962-10-03",8108.98,10511.61
"1962-10-04",8188.21,10513.2
"1962-10-05",8242.93,10497.95
"1962-10-08",8244.3,10499.53
"1962-10-09",8264.42,10501.11
"1962-10-10",8271.56,10519.53
"1962-10-11",8245.53,10521.12
"1962-10-12",8232.48,10522.7
"1962-10-15",8279.99,10524.28
"1962-10-16",8253.97,10525.86
"1962-10-17",8227.94,10510.59
"1962-10-18",8150.01,10529.04
"1962-10-19",8043.24,10598.42
"1962-10-22",7953.78,10549.08
"1962-10-23",7743.2,10533.76
"1962-10-24",7992.57,10535.35
"1962-10-25",7918.96,10520.06
"1962-10-26",7898.71,10538.52
"1962-10-29",8070.21,10540.11
"1962-10-30",8189.81,10541.69
"1962-10-31",8188.3,10543.28
"1962-11-01",8276.18,10544.86
"1962-11-02",8368.38,10546.45
"1962-11-05",8456.26,10564.96
"1962-11-07",8509.53,10566.55
"1962-11-08",8454.67,10585.1
"1962-11-09",8522.36,10603.69
"1962-11-12",8640.51,10605.28
"1962-11-13",8623.14,10589.84
"1962-11-14",8725.43,10574.45
"1962-11-15",8699.41,10576.03
"1962-11-16",8728.17,10560.67
"1962-11-19",8680.52,10545.34
"1962-11-20",8772.72,10563.85
"1962-11-21",8825.99,10565.44
"1962-11-23",8932.6,10567.03
"1962-11-26",8908.02,10568.62
"1962-11-27",8962.73,10570.21
"1962-11-28",9020.32,10571.8
"1962-11-29",9063.5,10573.39
"1962-11-30",9043.24,10574.98
"1962-12-03",8998.47,10559.63
"1962-12-04",9100.76,10544.31
"1962-12-05",9066.08,10545.91
"1962-12-06",9145.3,10564.41
"1962-12-07",9165.41,10566.01
"1962-12-10",9052.88,10584.55
"1962-12-11",9061.46,10603.14
"1962-12-12",9107.52,10621.76
"1962-12-13",9078.61,10623.35
"1962-12-14",9101.6,10624.94
"1962-12-17",9074.14,10643.61
"1962-12-18",9032.25,10662.32
"1962-12-19",9107.14,10663.9
"1962-12-20",9143.11,10665.49
"1962-12-21",9117.72,10667.08
"1962-12-24",9117.84,10685.83
"1962-12-26",9176.2,10687.42
"1962-12-27",9164.68,10671.83
"1962-12-28",9170.63,10656.28
"1962-12-31",9192.59,10640.77
"1963-01-02",9134.5,10659.47
"1963-01-03",9286,10661.06
"1963-01-04",9347.26,10628.46
"1963-01-07",9347.39,10647.13
"1963-01-08",9439.21,10631.64
"1963-01-09",9418.96,10633.24
"1963-01-10",9438.01,10651.92
"1963-01-11",9459.97,10670.64
"1963-01-14",9512.5,10672.23
"1963-01-15",9500.98,10673.82
"1963-01-16",9438.52,10675.42
"1963-01-17",9507.06,10642.77
"1963-01-18",9515.92,10627.3
"1963-01-21",9532.05,10611.86
"1963-01-22",9556.92,10596.47
"1963-01-23",9584.7,10598.07
"1963-01-24",9605.21,10599.67
"1963-01-25",9631.53,10618.28
"1963-01-28",9679.69,10602.87
"1963-01-29",9679.81,10604.48
"1963-01-30",9626.09,10623.09
"1963-01-31",9678.61,10607.68
"1963-02-01",9696.2,10609.28
"1963-02-04",9677.41,10593.9
"1963-02-05",9670.26,10595.51
"1963-02-06",9714.04,10597.11
"1963-02-07",9682.15,10598.72
"1963-02-08",9683.73,10617.32
"1963-02-11",9625.64,10618.93
"1963-02-12",9637.41,10620.53
"1963-02-13",9685.57,10605.13
"1963-02-14",9716.25,10606.74
"1963-02-15",9726.57,10625.36
"1963-02-18",9744.16,10626.97
"1963-02-19",9699.17,10628.57
"1963-02-20",9646.9,10630.18
"1963-02-21",9661.58,10614.77
"1963-02-25",9596.22,10599.39
"1963-02-26",9599.25,10601
"1963-02-27",9533.89,10602.61
"1963-02-28",9430.69,10621.22
"1963-03-01",9404.62,10622.83
"1963-03-04",9496.43,10624.44
"1963-03-05",9500.92,10643.09
"1963-03-06",9518.52,10644.69
"1963-03-07",9579.77,10646.3
"1963-03-08",9591.53,10630.87
"1963-03-11",9619.31,10632.48
"1963-03-12",9644.18,10634.09
"1963-03-13",9680.69,10618.69
"1963-03-14",9637.15,10620.3
"1963-03-15",9686.47,10621.92
"1963-03-18",9640.59,10623.53
"1963-03-19",9621.15,10608.16
"1963-03-20",9692.8,10626.76
"1963-03-21",9679.24,10611.38
"1963-03-22",9730.32,10613
"1963-03-25",9734.39,10597.66
"1963-03-26",9763.44,10599.28
"1963-03-27",9805.71,10600.89
"1963-03-28",9792.15,10602.51
"1963-03-29",9791.81,10604.13
"1963-04-01",9834.08,10605.75
"1963-04-02",9833.74,10590.43
"1963-04-03",9911.26,10592.06
"1963-04-04",9984.38,10610.62
"1963-04-05",10048.68,10612.24
"1963-04-08",10085.07,10580
"1963-04-09",10075.92,10581.63
"1963-04-10",10053.54,10549.52
"1963-04-11",10125.19,10551.15
"1963-04-15",10173.33,10535.97
"1963-04-16",10181.81,10537.6
"1963-04-17",10150.61,10522.45
"1963-04-18",10147.34,10540.86
"1963-04-19",10198.42,10559.32
"1963-04-22",10209.83,10560.95
"1963-04-23",10244.75,10562.58
"1963-04-24",10273.79,10564.21
"1963-04-25",10280.79,10565.84
"1963-04-26",10273.11,10567.47
"1963-04-29",10266.89,10569.1
"1963-04-30",10290.06,10570.73
"1963-05-01",10316.16,10589.24
"1963-05-02",10346.67,10590.87
"1963-05-03",10327.23,10592.51
"1963-05-06",10254.91,10611.06
"1963-05-07",10242.82,10629.65
"1963-05-08",10327.68,10631.28
"1963-05-09",10378.75,10615.94
"1963-05-10",10404.85,10617.57
"1963-05-13",10400.11,10619.2
"1963-05-14",10361.57,10637.81
"1963-05-15",10395.02,10656.46
"1963-05-16",10369.71,10658.08
"1963-05-17",10376.71,10642.69
"1963-05-20",10329.36,10627.33
"1963-05-21",10356.93,10645.96
"1963-05-22",10358.06,10630.59
"1963-05-23",10353.32,10632.23
"1963-05-24",10342.69,10616.9
"1963-05-27",10321.79,10618.53
"1963-05-28",10343.48,10620.17
"1963-05-29",10391.62,10621.8
"1963-05-31",10461.78,10623.44
"1963-06-03",10446.75,10608.14
"1963-06-04",10449.35,10626.72
"1963-06-05",10425.51,10628.35
"1963-06-06",10433.98,10629.99
"1963-06-07",10410.14,10648.61
"1963-06-10",10342.23,10650.24
"1963-06-11",10356.58,10668.9
"1963-06-12",10413.52,10653.51
"1963-06-13",10388.21,10655.15
"1963-06-14",10392.28,10656.78
"1963-06-17",10349.34,10658.42
"1963-06-18",10360.75,10660.06
"1963-06-19",10372.16,10661.69
"1963-06-20",10361.54,10663.33
"1963-06-21",10397.62,10664.97
"1963-06-24",10391.26,10649.6
"1963-06-25",10368.62,10651.24
"1963-06-26",10276.42,10652.88
"1963-06-27",10227.14,10654.52
"1963-06-28",10272.58,10656.16
"1963-07-01",10198.14,10640.81
"1963-07-02",10287.99,10608.59
"1963-07-03",10360.07,10610.23
"1963-07-05",10402.55,10595
"1963-07-08",10332.55,10579.8
"1963-07-09",10377.99,10581.45
"1963-07-10",10356.83,10583.1
"1963-07-11",10338.64,10584.75
"1963-07-12",10321.92,10586.4
