"Date","VIXSIM"
"1990-01-02",10000
"1990-01-03",10551.04
"1990-01-04",11148.49
"1990-01-05",11664.73
"1990-01-08",11751.74
"1990-01-09",12877.03
"1990-01-10",13016.24
"1990-01-11",11629.93
"1990-01-12",14292.34
"1990-01-15",15278.42
"1990-01-16",14025.52
"1990-01-17",14013.92
"1990-01-18",14118.33
"1990-01-19",13051.04
"1990-01-22",15487.24
"1990-01-23",14338.75
"1990-01-24",14727.38
"1990-01-25",14866.59
"1990-01-26",15243.62
"1990-01-29",15336.43
"1990-01-30",15806.26
"1990-01-31",14709.98
"1990-02-01",14425.75
"1990-02-02",14106.73
"1990-02-05",14234.34
"1990-02-06",14321.35
"1990-02-07",14089.33
"1990-02-08",13787.7
"1990-02-09",13741.3
"1990-02-12",14141.53
"1990-02-13",13781.9
"1990-02-14",12790.02
"1990-02-15",11432.71
"1990-02-16",12053.36
"1990-02-20",13213.46
"1990-02-21",13857.31
"1990-02-22",13074.25
"1990-02-23",13741.3
"1990-02-26",13665.89
"1990-02-27",13161.25
"1990-02-28",12755.22
"1990-03-01",12703.02
"1990-03-02",12378.19
"1990-03-05",12778.42
"1990-03-06",11919.95
"1990-03-07",11078.89
"1990-03-08",11450.12
"1990-03-09",11774.94
"1990-03-12",11641.53
"1990-03-13",12209.98
"1990-03-14",11397.91
"1990-03-15",10910.67
"1990-03-16",10220.42
"1990-03-19",10609.05
"1990-03-20",11055.68
"1990-03-21",11658.93
"1990-03-22",13190.26
"1990-03-23",11867.75
"1990-03-26",11363.11
"1990-03-27",12186.77
"1990-03-28",11467.52
"1990-03-29",10707.66
"1990-03-30",11444.32
"1990-04-02",13248.26
"1990-04-03",11856.15
"1990-04-04",12778.42
"1990-04-05",12302.78
"1990-04-06",12621.81
"1990-04-09",12935.03
"1990-04-10",12581.21
"1990-04-11",10284.22
"1990-04-12",11484.92
"1990-04-16",12035.96
"1990-04-17",11821.35
"1990-04-18",13149.65
"1990-04-19",13027.84
"1990-04-20",13532.48
"1990-04-23",14013.92
"1990-04-24",12587.01
"1990-04-25",12099.77
"1990-04-26",11745.94
"1990-04-27",12871.23
"1990-04-30",11322.51
"1990-05-01",10690.26
"1990-05-02",11206.5
"1990-05-03",10330.63
"1990-05-04",10023.2
"1990-05-07",10237.82
"1990-05-08",10725.06
"1990-05-09",10812.06
"1990-05-10",10783.06
"1990-05-11",11490.72
"1990-05-14",11682.13
"1990-05-15",11305.1
"1990-05-16",10272.62
"1990-05-17",10017.4
"1990-05-18",9976.8
"1990-05-21",9698.38
"1990-05-22",10348.03
"1990-05-23",9965.2
"1990-05-24",10266.82
"1990-05-25",10046.4
"1990-05-29",10875.87
"1990-05-30",10116.01
"1990-05-31",10075.41
"1990-06-01",9912.99
"1990-06-04",10667.05
"1990-06-05",11003.48
"1990-06-06",10104.41
"1990-06-07",9791.18
"1990-06-08",10197.22
"1990-06-11",9477.96
"1990-06-12",9628.77
"1990-06-13",10081.21
"1990-06-14",10092.81
"1990-06-15",9222.74
"1990-06-18",10272.62
"1990-06-19",8834.11
"1990-06-20",8857.31
"1990-06-21",8538.28
"1990-06-22",11229.7
"1990-06-25",9895.59
"1990-06-26",9448.96
"1990-06-27",9280.74
"1990-06-28",9385.15
"1990-06-29",8990.72
"1990-07-02",9431.55
"1990-07-03",9344.55
"1990-07-05",10005.8
"1990-07-06",9518.56
"1990-07-09",9663.57
"1990-07-10",9814.39
"1990-07-11",9675.17
"1990-07-12",9895.59
"1990-07-13",9912.99
"1990-07-16",9715.78
"1990-07-17",9663.57
"1990-07-18",10962.88
"1990-07-19",10765.66
"1990-07-20",9066.13
"1990-07-23",13735.5
"1990-07-24",12639.21
"1990-07-25",11711.14
"1990-07-26",11751.74
"1990-07-27",12250.58
"1990-07-30",12273.78
"1990-07-31",12244.78
"1990-08-01",12552.2
"1990-08-02",11850.35
"1990-08-03",16670.53
"1990-08-06",20829.47
"1990-08-07",18996.52
"1990-08-08",16397.91
"1990-08-09",14147.33
"1990-08-10",14936.19
"1990-08-13",14930.39
"1990-08-14",14025.52
"1990-08-15",13520.88
"1990-08-16",15754.06
"1990-08-17",15968.68
"1990-08-20",15348.03
"1990-08-21",16763.34
"1990-08-22",17720.42
"1990-08-23",21154.29
"1990-08-24",19680.97
"1990-08-27",17186.77
"1990-08-28",16890.95
"1990-08-29",15881.67
"1990-08-30",17337.59
"1990-08-31",17343.39
"1990-09-04",17157.77
"1990-09-05",16542.92
"1990-09-06",17511.6
"1990-09-07",16664.73
"1990-09-10",17018.56
"1990-09-11",16461.72
"1990-09-12",16310.9
"1990-09-13",17012.76
"1990-09-14",17726.22
"1990-09-17",17140.37
"1990-09-18",16716.94
"1990-09-19",16171.69
"1990-09-20",16624.13
"1990-09-21",17424.59
"1990-09-24",17726.22
"1990-09-25",16711.14
"1990-09-26",16351.51
"1990-09-27",16629.93
"1990-09-28",16885.15
"1990-10-01",16276.1
"1990-10-02",15823.67
"1990-10-03",16183.29
"1990-10-04",15957.08
"1990-10-05",16154.29
"1990-10-08",16264.5
"1990-10-09",17813.23
"1990-10-10",18091.65
"1990-10-11",19709.98
"1990-10-12",18526.68
"1990-10-15",18352.67
"1990-10-16",18242.46
"1990-10-17",18196.06
"1990-10-18",17169.37
"1990-10-19",16160.09
"1990-10-22",15817.87
"1990-10-23",15991.88
"1990-10-24",16403.71
"1990-10-25",16844.55
